ID,Land,Postleitzahl,Datum,Uhrzeit,Stadt,Treffpunkt,Protestform,Zeitstempel,Livestream
76424,DE,83209,2023-01-21,10:30,Prien am Chiemsee,Am Sportplatz,Schilderwald,2023-01-09 16:03:05,
76452,DE,32756,2023-01-21,12:00,Detmold,Bruchberg,Mahnwache,2023-01-17 19:56:24,
76432,DE,64385,2023-01-21,14:00,Reichelsheim,B38 Ortseingang Aldi,Zusammenkunft,2023-01-11 11:10:31,
76458,DE,20354,2023-01-21,15:00,Hamburg,Gänsemarkt,Aufzug,2023-01-18 10:19:01,
76446,DE,16515,2023-01-21,16:00,Oranienburg,Schlossplatz,Demonstration,2023-01-14 01:15:25,
76469,DE,76530,2023-01-21,16:00,Baden-Baden,Reinhard-Fieser-Brücke,Kundgebung,2023-01-20 13:59:23,
76442,DE,88239,2023-01-23,18:00,Wangen i.Allg.,Marktplatz,Spaziergang,2023-01-13 13:45:43,
76438,DE,95643,2023-01-23,18:00,Tirschenreuth,Oberer Marktplatz (Maximilianp,Demonstration,2023-01-12 16:28:22,
76470,DE,75334,2023-01-23,18:00,Straubenhardt-Feldrennach,Rathaus,Spaziergang,2023-01-20 17:58:45,
76455,DE,74523,2023-01-23,18:00,Schwäbisch Hall,Dietrich-Bonhoeffer-Platz,Spaziergang,2023-01-17 21:51:45,
76464,DE,76829,2023-01-23,18:00,Landau,Untertorplatz,Spaziergang,2023-01-19 21:26:31,
76462,DE,76646,2023-01-23,18:00,Bruchsal,Marktplatz-Rathaus,Aufzug,2023-01-18 23:38:34,
76386,DE,53111,2023-01-23,18:00,Bonn,Marktplatz Ecke Wenzelgasse,Spaziergang,2023-01-01 20:39:48,
76468,DE,42651,2023-01-23,18:15,Solingen,Am Neumarkt,Aufzug,2023-01-20 00:59:46,
76459,DE,67547,2023-01-23,18:30,Worms,Lutherdenkmal,Spaziergang,2023-01-18 11:41:02,
76411,DE,67547,2023-01-23,18:30,Worms,Lutherdenkmal,Spaziergang,2023-01-09 12:54:44,
76463,DE,25421,2023-01-23,18:30,Pinneberg,Rathaus,Spaziergang,2023-01-19 12:50:32,
76413,DE,91052,2023-01-24,18:30,Erlangen,Ohmplatz,Aufzug,2023-01-09 13:29:28,
76421,DE,91052,2023-01-27,13:00,Erlangen,Berliner Platz Park,Bürgerkrieg,2023-01-09 13:48:24,
76425,DE,83209,2023-01-28,10:30,Prien am Chiemsee,Am Sportplatz,Schilderwald,2023-01-09 16:03:49,
76457,DE,20457,2023-01-28,15:00,Hamburg,Kunsthalle/Ernst-Merck-Straße,Kundgebung,2023-01-18 09:53:16,
76419,DE,91052,2023-01-30,15:00,Erlangen,Berliner Platz Park,Musik,2023-01-09 13:44:00,
76420,DE,91052,2023-01-30,16:00,Erlangen,Berliner Platz Park,Vortrag,2023-01-09 13:45:34,
76443,DE,88239,2023-01-30,18:00,Wangen i.Allg.,Marktplatz,Spaziergang,2023-01-13 13:46:44,
76439,DE,95643,2023-01-30,18:00,Tirschenreuth,Oberer Marktplatz (Maximilianp,Demonstration,2023-01-12 16:30:05,
76466,DE,76829,2023-01-30,18:00,Landau,Untertorplatz,Spaziergang,2023-01-19 22:49:45,
76387,DE,53111,2023-01-30,18:00,Bonn,Marktplatz Ecke Wenzelgasse,Spaziergang,2023-01-01 20:41:10,
76412,DE,67547,2023-01-30,18:30,Worms,Lutherdenkmal,Spaziergang,2023-01-09 12:55:17,
76460,DE,67547,2023-01-30,18:30,Worms,Lutherdenkmal,Spaziergang,2023-01-18 11:41:26,
76467,DE,76275,2023-01-31,18:00,Ettlingen,Huttenkr.str-Dickhäuterpl.-REA,Aufzug,2023-01-20 00:02:22,
76414,DE,91ü52,2023-01-31,18:30,Erlangen,Ohmplatz,Aufzug,2023-01-09 13:30:28,
76418,DE,91052,2023-01-31,23:30,Erlangen,Ohmplatz,Musik,2023-01-09 13:40:44,
76255,DE,00000,2023-02-01,00:00,Demokalender,Internet,Abschied,2022-12-31 23:59:59,
